epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,43.568,1.04234,2.37557,1.46608,0.86676,0.65,0.88086,0.63991,1.62154,1.18347,1.35708,2.11379e-05,2.11379e-05,2.11379e-05
25,45.3925,0.74776,1.71744,1.13511,0.86206,0.65,0.85536,0.6291,1.64043,1.23728,1.36502,2.17741e-05,2.17741e-05,2.17741e-05
26,47.0401,0.87534,1.56176,1.15957,0.86206,0.65,0.85536,0.6291,1.64043,1.23728,1.36502,2.23869e-05,2.23869e-05,2.23869e-05
27,48.7688,0.94788,1.60183,1.34761,0.83671,0.65,0.85554,0.61904,1.63676,1.27978,1.3642,2.2976e-05,2.2976e-05,2.2976e-05
28,50.3588,1.09921,1.63838,1.49805,0.83671,0.65,0.85554,0.61904,1.63676,1.27978,1.3642,2.35417e-05,2.35417e-05,2.35417e-05
29,52.0742,1.01454,1.344,1.36949,0.79379,0.65,0.85269,0.60246,1.64471,1.34011,1.37236,2.40837e-05,2.40837e-05,2.40837e-05
30,53.7319,1.29566,2.72196,1.69017,0.79379,0.65,0.85269,0.60246,1.64471,1.34011,1.37236,2.46022e-05,2.46022e-05,2.46022e-05
31,55.5493,0.79779,1.37398,1.26467,0.78889,0.65,0.85668,0.61604,1.64481,1.38832,1.36882,2.50971e-05,2.50971e-05,2.50971e-05
32,57.1896,0.80726,1.1824,1.12558,0.78889,0.65,0.85668,0.61604,1.64481,1.38832,1.36882,2.55685e-05,2.55685e-05,2.55685e-05
33,58.8624,1.03486,2.75915,1.36168,0.75331,0.65,0.76348,0.524,1.65221,1.4518,1.36812,2.60163e-05,2.60163e-05,2.60163e-05
34,60.4518,0.94752,1.0406,1.37004,0.75331,0.65,0.76348,0.524,1.65221,1.4518,1.36812,2.64405e-05,2.64405e-05,2.64405e-05
35,62.1899,0.82987,1.67654,1.27654,0.74475,0.658,0.76445,0.55886,1.6717,1.49409,1.38109,2.68412e-05,2.68412e-05,2.68412e-05
36,63.7789,0.80623,1.58523,1.1498,0.74475,0.658,0.76445,0.55886,1.6717,1.49409,1.38109,2.72183e-05,2.72183e-05,2.72183e-05
37,65.447,0.86337,1.28193,1.33612,0.65586,0.69114,0.76414,0.52589,1.67819,1.56797,1.3879,2.75718e-05,2.75718e-05,2.75718e-05
38,67.0566,0.72761,1.0577,1.10236,0.65586,0.69114,0.76414,0.52589,1.67819,1.56797,1.3879,2.79018e-05,2.79018e-05,2.79018e-05
39,68.8309,0.88407,1.96518,1.24551,0.63096,0.59171,0.65432,0.46716,1.69562,1.63536,1.3896,2.82082e-05,2.82082e-05,2.82082e-05
40,70.6238,0.7367,1.09484,1.08554,0.63096,0.59171,0.65432,0.46716,1.69562,1.63536,1.3896,2.84911e-05,2.84911e-05,2.84911e-05
41,72.36,1.08868,1.9748,1.47696,0.62916,0.59066,0.62851,0.42083,1.69361,1.70286,1.38922,2.87504e-05,2.87504e-05,2.87504e-05
42,74.0399,0.83493,1.18237,1.21806,0.62916,0.59066,0.62851,0.42083,1.69361,1.70286,1.38922,2.89861e-05,2.89861e-05,2.89861e-05
43,75.8679,0.72129,0.85055,1.04969,0.59179,0.50638,0.5649,0.34765,1.67832,1.73984,1.38948,2.91983e-05,2.91983e-05,2.91983e-05
44,77.5941,0.83615,1.12048,1.21529,0.59179,0.50638,0.5649,0.34765,1.67832,1.73984,1.38948,2.93869e-05,2.93869e-05,2.93869e-05
45,79.2894,0.64145,0.9833,1.1715,0.60406,0.5,0.55477,0.33801,1.6881,1.78527,1.39725,2.9552e-05,2.9552e-05,2.9552e-05
46,80.9358,0.70658,0.9293,1.02861,0.60406,0.5,0.55477,0.33801,1.6881,1.78527,1.39725,2.96935e-05,2.96935e-05,2.96935e-05
47,82.6344,0.75884,0.95166,1.06256,0.6159,0.5,0.5319,0.31492,1.7038,1.83647,1.40954,2.98114e-05,2.98114e-05,2.98114e-05
48,84.231,0.71852,0.83159,1.15724,0.6159,0.5,0.5319,0.31492,1.7038,1.83647,1.40954,2.99058e-05,2.99058e-05,2.99058e-05
